TractID,DescriptiveName
49003960601,NE Brigham City
49003960702,SE Brigham City
49057200202,Ogden - Canyon Road Area
49057200302,Ogden - East of Downtown
49057200400,Ogden - Downtown North
49057200500,Ogden - Northeast of Downtown
49057200800,Ogden - South Downtown
49057200900,Ogden - East Downtown
49057201100,Ogden - Central Downtown
49057201200,Ogden - South Downtown
49057201301,Ogden - Southeast Downtown
49057201302,Ogden - Southeast of Downtown
49057201600,Ogden - Jackson Ave
49057201800,Ogden - Lincoln Ave
49057201900,Ogden - West & Airport
49057210512,Riverdale
49057210701,Roy Downtown
49057210800,South Ogden
49011125201,HAFB - Southwest 
49011125301,Sunset Main
49011125600,Freeport Center
49011125701,Clearfield Station Area
49011125702,Clearfield North
49011125801,Sunset South
49011125810,Layton Midtown North
49011126700,Bountiful - Downtown
49035100306,SLC - North Temple West
49035100308,SLC - Redwood North
49035100500,SLC - Rose Park Central
49035100600,SLC - Rose Park South
49035100800,SLC - Marmalade South
49035101401,SLC - VA Hospital / U of U
49035101402,SLC - U of U Main Campus
49035101500,SLC - U of U West
49035101600,SLC - Judge High School
49035101700,SLC - North of 9th East Station
49035101800,SLC - South of 9th East Station
49035101900,SLC - East of Downtown
49035102000,SLC - North of Liberty Park
49035102100,SLC - Downtown East
49035102300,SLC - Downtown Southwest
49035102701,SLC - Glendale North
49035102702,SLC - North Temple Southwest
49035102802,SLC - 900 W Southernmost
49035102900,SLC - Ballpark
49035111105,Murray - Van Winkle West
49035111400,SSLC - Nibley West
49035111500,SSLC - I15 / I80 Jct
49035111601,Meadowbreak East
49035111602,Meadowbreak West
49035111701,SSLC - Central
49035111802,Millcreek Commons NW
49035111906,Millcreek - East of State
49035112101,Murray Trax Corridor
49035112402,Midvale South
49035112404,Midvale Fort Union Station
49035112406,Midvale Southwest / Sandy Parkway
49035112621,Sandy Cairns North
49035112700,Sandy Historic Downtown
49035113308,WVC - North of Fairbourne Station
49035113309,WVC - Southwest of Fairbourne Station
49035113311,WVC - East of Decker Lake Station
49035113312,WVC - Decker Lake Station
49035113314,WVC - Redwood Center West
49035113406,WVC - City Park Neighborhood
49035113509,WVC - Redwood Center East
49035113512,Taylorsville - Meadowbrook/Sorenson
49035113513,Taylorsville - Redwood West
49035113514,Taylorsville - Fore Lakes Center
49035113521,Taylorsville - Bangerter East
49035113600,Kearns Town Center North
49035113702,Kearns - East of Kearns High School
49035113802,Kearns Northwest
49035113906,Northwest Quadrant West
49035114700,SLC - Jordan River Northwest
49045130600,Tooele - Western County
49045131003,Tooele City - West
49045131102,Tooele City - Southwest
49049000511,Pleasant Grove - Downtown West
49049000801,Orem - SE of I-15 & Center Street
49049000803,Orem - NE of I-15 & Center Street
49049000804,Orem - Community Hospital Neighborhood
49049000901,Orem - West of State / City Park
49049001103,Orem - UVU
49049001108,Orem - University Place Northwest
49049001401,Provo - Riverwoods
49049001403,Provo - CBD Center North
49049001404,Provo - Northwest of CBD Center
49049001601,Provo - CBD East
49049001602,Provo - BYU Campus
49049001702,Provo - Seven Peaks Blvd
49049001801,Provo - 700 North / South BYU
49049001802,Provo - 500 North and 400 East
49049001803,Provo - Center and 400 East
49049001900,Provo - Northwest Downtown
49049002001,Provo - 500 North and 700 West
49049002002,Provo - Independence Avenue
49049002205,Provo - Provo River West
49049002209,Vineyard Station East
49049002210,Orem Station 
49049002211,Orem - West of I15
49049002300,Provo - West of Downtown
49049002400,Provo - Downtown Central
49049002500,Provo - Downtown West
49049002902,Springville - Northwest
49049980200,Provo - Northeast of BYU
49049980300,Provo Station South
49049980500,Provo - Southeast
